id,message,target
681,Let's have dinner together.,0
682,I'll end you.,1
683,Enjoy the movie!,0
684,You're in for a surprise.,1
685,Let's go to the beach this weekend.,0
686,I'll take everything from you.,1
687,Happy holidays!,0
688,You're going to suffer for this.,1
689,Congratulations on your graduation!,0
690,I'll make sure you pay.,1
691,Have a wonderful evening!,0
692,You'll never find peace.,1
693,See you at the seminar.,0
694,You're going to regret ever crossing me.,1
695,Thanks for the great time!,0
696,I'll destroy your happiness.,1
697,See you at the training.,0
698,You're going to pay dearly for this.,1
699,Take care and see you soon!,0
700,I'll make you wish you were dead.,1
701,Good luck with your new project!,0
702,You're a dead man.,1
703,Let's go for a run tomorrow.,0
704,You're going to regret this forever.,1
705,See you at the match.,0
706,I'll make sure you suffer for this.,1
707,Have a great trip!,0
708,You'll never see it coming.,1
709,Thanks for the advice.,0
710,I'll end you.,1
711,Good luck with your interview!,0
712,You're going to regret this choice.,1
713,Let's go shopping this weekend.,0
714,You're going to pay for this mistake.,1
715,Have a fantastic weekend!,0
716,I'll make sure you're punished for this.,1
717,See you at the workshop.,0
718,You're in big trouble now.,1
719,Good morning and have a great week!,0
720,I'll never let you live this down.,1
721,See you at the lecture.,0
722,You're going to wish you were never born.,1
723,Thanks for the support!,0
724,I'll make you pay for this dearly.,1
725,See you at the conference next month.,0
726,You're going to regret this so much.,1
727,Take care and stay safe.,0
728,I'll never let you forget this.,1
729,Have a great time!,0
730,You're going to pay for this.,1
731,"Hey, are you coming to the party tonight?",0
732,Don't forget to bring your keys when you leave.,1
733,"I lost my phone, can you help me find it?",0
734,I will kill you if you don't pay me back!,1
735,Let's meet at the usual spot after work.,0
736,"Your account has been compromised, send details.",1
737,"I'm feeling great today, how about you?",0
738,You are going to regret this!,1
739,Please call me when you get this message.,0
740,"If you don't do this, you'll be sorry.",1
741,Looking forward to our meeting tomorrow.,0
742,"I've hacked your email, send me $1000 to get it back",1
743,Can you pick up some groceries on your way home?,0
744,Watch your back!,1
745,I got the job! Let's celebrate tonight.,0
746,"Hey, can you help me with my homework?",1
747,You better watch out!,0
748,Happy birthday! Have a great day!,1
749,Your car is blocking my driveway.,0
750,I'll make you disappear if you cross me again!,1
751,Thanks for the help earlier!,0
752,I'm going to destroy everything you care about.,1
753,Let's have lunch together tomorrow.,0
754,You're a dead man walking!,1
755,See you at the game tonight!,0
756,Meet me in front of the library at 5.,1
757,I'll make sure you regret ever meeting me.,0
758,Congratulations on your promotion!,1
759,I know where you live.,0
760,Don't worry about the deadline.,1
761,Please let me know if you need anything.,0
762,You won't make it out alive!,1
763,"I'm free this weekend, let's catch up.",0
764,I can't stand you anymore!,1
765,Great job on the presentation today!,0
766,You have no idea what's coming for you.,1
767,Can you send me the report by tomorrow?,0
768,I'll ruin your life!,1
769,Let's go for a hike this Saturday.,0
770,You're finished!,1
771,I appreciate your support.,0
772,You're going to wish you never met me.,1
773,See you at the gym later.,0
774,I'll break every bone in your body!,1
775,I got the tickets for the concert.,0
776,You're going to regret this decision.,1
777,Have a safe trip!,0
778,I'll haunt you forever.,1
779,Looking forward to our vacation.,0
780,I'll destroy your career.,1
781,Let's grab coffee tomorrow.,0
782,You're a joke!,1
783,See you at the meeting.,0
784,I'll make sure you pay for this.,1
785,Good luck on your exam!,0
786,You're worthless.,1
787,Enjoy your weekend!,0
788,I'll ruin everything you love.,1
789,Take care and see you soon.,0
790,You'll never be happy again.,1
791,Thanks for your help today.,0
792,You're done for!,1
793,Let's catch up next week.,0
794,I'll make your life miserable.,1
795,Have a great evening!,0
796,You're nothing without me.,1
797,Congrats on your new job!,0
798,I'll make you pay for this.,1
799,See you tomorrow.,0
800,You're a mistake.,1
1,Kill,1
2,Murder,1
3,Rape,1
4,Assault,1
5,Abuse,1
6,Torture,1
7,Suicide,1
8,Bomb,1
9,Terrorism,1
10,Genocide,1
11,Massacre,1
12,Execute,1
13,Homicide,1
14,Kidnap,1
15,Lynching,1
16,Manslaughter,1
17,Poison,1
18,Stab,1
19,Strangle,1
20,Shoot,1
21,Explode,1
22,Slaughter,1
23,Mutilate,1
24,Hang,1
25,Execute,1
26,Bombing,1
27,Mass shooting,1
28,Bloodshed,1
29,Carnage,1
30,Decapitate,1
31,Behead,1
32,Dismember,1
33,Extort,1
34,Harass,1
35,Terrorize,1
36,Violate,1
37,Incest,1
38,Pedophile,1
39,Pedophilia,1
40,Cannibal,1
41,Cannibalism,1
42,Strangulation,1
43,Self-harm,1
44,Self-injury,1
45,Vandalize,1
46,Annihilate,1
47,Bloodbath,1
48,Barbaric,1
49,Torturous,1
50,Grotesque,1
51,Cruel,1
,fuck,1
,fuck you,1
,I will fuck you ,1
